epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,3449.25,0.95052,0.5396,0.97697,0.97838,0.91969,0.9702,0.51605,1.69153,0.64201,1.25219,0.000498016,0.000498016,0.000498016
87,3488.85,0.91721,0.52379,0.95961,0.99442,0.93027,0.97799,0.50702,1.74451,0.62941,1.30087,0.000484263,0.000484263,0.000484263
88,3528.54,0.9235,0.52412,0.96219,0.98798,0.92382,0.96858,0.50365,1.70834,0.63893,1.25576,0.000470511,0.000470511,0.000470511
89,3568.96,0.88914,0.52412,0.94453,1,0.9393,0.98311,0.50899,1.71066,0.65177,1.27028,0.000456758,0.000456758,0.000456758
90,3608.4,0.92507,0.51735,0.96983,0.97513,0.92344,0.96089,0.48405,1.80249,0.63849,1.33489,0.000443005,0.000443005,0.000443005
91,3647.8,0.92661,0.53752,0.96387,0.98806,0.93881,0.97994,0.51562,1.68677,0.62639,1.25419,0.000429253,0.000429253,0.000429253
92,3687.4,0.95441,0.52767,0.98216,0.96575,0.93025,0.96795,0.50748,1.72153,0.63651,1.29052,0.0004155,0.0004155,0.0004155
93,3726.98,0.89548,0.52137,0.96075,0.97511,0.92334,0.95942,0.49142,1.79435,0.66151,1.33732,0.000401747,0.000401747,0.000401747
94,3766.71,0.921,0.51414,0.96482,0.9835,0.94103,0.98143,0.5022,1.71209,0.63856,1.24925,0.000387994,0.000387994,0.000387994
95,3806.3,0.89078,0.51494,0.95422,0.98039,0.95145,0.98247,0.49442,1.75888,0.63518,1.31069,0.000374242,0.000374242,0.000374242
96,3845.74,0.8864,0.50991,0.94895,0.96259,0.96143,0.97123,0.50058,1.72813,0.61314,1.29996,0.000360489,0.000360489,0.000360489
97,3885.83,0.90005,0.50474,0.93715,0.96785,0.95964,0.96874,0.49588,1.75255,0.63558,1.33959,0.000346736,0.000346736,0.000346736
98,3926.3,0.88253,0.50167,0.94287,0.95872,0.96318,0.96728,0.50063,1.69429,0.62023,1.26253,0.000332983,0.000332983,0.000332983
99,3966.48,0.87079,0.49971,0.94091,0.97545,0.93662,0.96272,0.49703,1.78228,0.62207,1.33022,0.000319231,0.000319231,0.000319231
100,4006.86,0.85284,0.48821,0.95204,0.97143,0.93284,0.96923,0.5063,1.74068,0.62253,1.28073,0.000305478,0.000305478,0.000305478
101,4047.36,0.87372,0.48512,0.9496,0.96964,0.92913,0.9592,0.50903,1.75638,0.624,1.29146,0.000291725,0.000291725,0.000291725
102,4087.74,0.85689,0.49137,0.93094,0.96831,0.92913,0.96569,0.50509,1.72577,0.61756,1.25621,0.000277972,0.000277972,0.000277972
103,4128.99,0.85843,0.49753,0.93623,0.97129,0.91505,0.9651,0.50775,1.74001,0.61347,1.27223,0.00026422,0.00026422,0.00026422
104,4168.63,0.83545,0.48264,0.94142,0.9632,0.96355,0.97527,0.51471,1.74425,0.61627,1.26902,0.000250467,0.000250467,0.000250467
105,4207.96,0.82238,0.48376,0.92798,0.94928,0.94969,0.96935,0.51731,1.71649,0.63127,1.26111,0.000236714,0.000236714,0.000236714
106,4247.75,0.82234,0.48613,0.92756,0.96895,0.9493,0.96944,0.52365,1.71481,0.629,1.25336,0.000222961,0.000222961,0.000222961
107,4287.58,0.84579,0.48409,0.94615,0.97099,0.95194,0.96873,0.50731,1.68264,0.62838,1.24234,0.000209209,0.000209209,0.000209209
108,4326.98,0.83353,0.47921,0.92327,0.9639,0.95266,0.96562,0.51231,1.72996,0.61486,1.29261,0.000195456,0.000195456,0.000195456
109,4366.69,0.82332,0.46551,0.91844,0.9533,0.96098,0.96673,0.51664,1.68752,0.61648,1.25521,0.000181703,0.000181703,0.000181703
